Number,x,y
19,0.955756673,0.056723336
35,0.975839665,-0.257442448
21,-0.764527864,-0.006411419
45,0.934817031,-0.69057234
43,0.956792861,-0.179311767
32,0.976935455,-0.038706969
21,-0.764527864,-0.006411419
9,-0.617136021,0.48392501
45,0.934817031,-0.69057234
23,-0.163005163,-0.815895072
51,-0.951882415,0.036278761
25,-0.73158329,-0.915796588
50,-0.956923987,0.144504217
10,0.959254308,0.098221592
43,0.956792861,-0.179311767
1,0.734088734,-0.055359492
32,0.976935455,-0.038706969
18,0.947034389,0.268463566
50,-0.956923987,0.144504217
14,0.961888034,-0.201917553
14,0.961888034,-0.201917553
9,-0.617136021,0.48392501
35,0.975839665,-0.257442448
21,-0.764527864,-0.006411419
13,0.965912445,-0.156616265
41,0.951883587,0.012241184
22,-0.87049737,-0.245876636
34,0.978305817,-0.106621373
7,-0.228601822,-0.849616681
1,0.734088734,-0.055359492
14,0.961888034,-0.201917553
51,-0.951882415,0.036278761
4,0.320498144,-0.841675086
34,0.978305817,-0.106621373
8,-0.842121808,0.797367464
22,-0.87049737,-0.245876636
6,-0.518431639,-0.147421394
26,-0.876298684,-0.015483415
35,0.975839665,-0.257442448
48,0.921187107,0.434504832
9,-0.617136021,0.48392501
34,0.978305817,-0.106621373
4,0.320498144,-0.841675086
14,0.961888034,-0.201917553
48,0.921187107,0.434504832
45,0.934817031,-0.69057234
23,-0.163005163,-0.815895072
43,0.956792861,-0.179311767
22,-0.87049737,-0.245876636
51,-0.951882415,0.036278761
200082,-0.970847156,-0.143331278
200091,0.396174291,-0.730868342
200056,-0.919053968,-0.140964147
200080,-0.969933185,-0.013364035
200052,-0.916609492,-0.293110409
200061,0.856604799,-0.369820313
200085,-0.972427792,-0.38308621
200075,-0.229022177,-0.928381241
200099,-0.74362263,-0.318806553
200080,-0.969933185,-0.013364035
200079,-0.680393147,-0.205155138
200059,-0.922415999,-0.013295575
200058,-0.939800228,0.217633758
200075,-0.229022177,-0.928381241
200101,0.925892942,-0.041004344
200059,-0.922415999,-0.013295575
200078,-0.854034787,0.459011558
200052,-0.916609492,-0.293110409
200086,-0.971151717,-0.090672758
200059,-0.922415999,-0.013295575
200056,-0.919053968,-0.140964147
200062,0.458435987,-0.816528012
200081,-0.967560806,-0.098782226
200061,0.856604799,-0.369820313
200081,-0.967560806,-0.098782226
200067,0.187678161,-0.889141577
200075,-0.229022177,-0.928381241
200050,-0.908667975,0.087418809
200099,-0.74362263,-0.318806553
200090,-0.489875801,-0.058654605
200050,-0.908667975,0.087418809
200055,-0.928357562,-0.894978398
200089,-0.971590468,-0.044688249
200052,-0.916609492,-0.293110409
200086,-0.971151717,-0.090672758
200080,-0.969933185,-0.013364035
200101,0.925892942,-0.041004344
200098,-0.868811229,0.33362058
200072,-0.246991408,-0.799415969
200051,-0.882583749,-0.192975789
200095,-0.272544306,-0.931339567
200067,0.187678161,-0.889141577
200058,-0.939800228,0.217633758
200087,-0.971516209,-0.24173157
200076,-0.496110004,-0.688666213
200068,-0.576385593,0.728237421
200056,-0.919053968,-0.140964147
200080,-0.969933185,-0.013364035
200070,-0.126898608,0.327335671
200098,-0.868811229,0.33362058
